Frequency (Hz)	Level (dB)
0.672913	-94.354332
1.345825	-94.927803
2.018738	-94.953140
2.691650	-94.958755
3.364563	-95.284058
4.037476	-94.917389
4.710388	-94.547058
5.383301	-94.615234
6.056213	-92.071251
6.729126	-93.351318
7.402039	-92.754822
8.074951	-93.186028
8.747864	-93.111351
9.420776	-92.077805
10.093689	-91.508698
10.766602	-90.144669
11.439514	-89.010780
12.112427	-88.744598
12.785339	-88.861305
13.458252	-87.740875
14.131165	-88.589813
14.804077	-87.481392
15.476990	-89.548676
16.149902	-85.132935
16.822815	-89.137283
17.495728	-88.834335
18.168640	-88.822136
18.841553	-86.012962
19.514465	-86.703438
20.187378	-86.730179
20.860291	-86.719910
21.533203	-84.908607
22.206116	-84.006363
22.879028	-84.175774
23.551941	-85.456047
24.224854	-83.515190
24.897766	-86.307373
25.570679	-86.136986
26.243591	-84.562866
26.916504	-84.272583
27.589417	-85.858727
28.262329	-84.801559
28.935242	-83.685249
29.608154	-80.487801
30.281067	-84.097443
30.953979	-84.362679
31.626892	-85.030945
32.299805	-85.851952
32.972717	-83.190750
33.645630	-84.687416
34.318542	-85.599464
34.991455	-85.560555
35.664368	-86.677307
36.337280	-86.084724
37.010193	-85.010635
37.683105	-85.097176
38.356018	-84.752510
39.028931	-82.756851
39.701843	-85.880867
40.374756	-83.734589
41.047668	-84.572136
41.720581	-82.625198
42.393494	-84.690781
43.066406	-84.886826
43.739319	-83.065216
44.412231	-81.565483
45.085144	-83.753410
45.758057	-84.502151
46.430969	-83.127769
47.103882	-83.541473
47.776794	-84.127785
48.449707	-84.089745
49.122620	-82.436150
49.795532	-83.170868
50.468445	-83.362587
51.141357	-82.866180
51.814270	-82.490005
52.487183	-83.719650
53.160095	-80.422722
53.833008	-78.424423
54.505920	-81.909691
55.178833	-80.910759
55.851746	-82.024704
56.524658	-80.629341
57.197571	-80.333351
57.870483	-80.719414
58.543396	-79.473351
59.216309	-81.625259
59.889221	-80.471970
60.562134	-80.427910
61.235046	-81.067963
61.907959	-78.776443
62.580872	-76.797569
63.253784	-78.426765
63.926697	-81.237923
64.599609	-82.398529
65.272522	-83.114983
65.945435	-81.958405
66.618347	-83.087746
67.291260	-81.861015
67.964172	-82.397705
68.637085	-82.515038
69.309998	-80.722252
69.982910	-81.069633
70.655823	-79.372452
71.328735	-79.943542
72.001648	-80.767334
72.674561	-82.135017
73.347473	-81.536652
74.020386	-83.787285
74.693298	-83.262070
75.366211	-79.439003
76.039124	-79.482170
76.712036	-81.192581
77.384949	-82.778091
78.057861	-83.133003
78.730774	-80.496819
79.403687	-81.838272
80.076599	-82.397530
80.749512	-81.041656
81.422424	-83.176605
82.095337	-81.135452
