Frequency (Hz)	Level (dB)
0.672913	-93.925255
1.345825	-93.893318
2.018738	-94.086899
2.691650	-93.813751
3.364563	-94.523956
4.037476	-92.575813
4.710388	-93.565941
5.383301	-93.315773
6.056213	-91.993294
6.729126	-90.689804
7.402039	-93.007866
8.074951	-92.852081
8.747864	-92.466858
9.420776	-90.481255
10.093689	-91.267426
10.766602	-88.255081
11.439514	-88.659821
12.112427	-88.808777
12.785339	-87.692589
13.458252	-85.886749
14.131165	-87.206482
14.804077	-88.361053
15.476990	-88.610107
16.149902	-87.802925
16.822815	-88.125320
17.495728	-88.448318
18.168640	-86.833275
18.841553	-86.857063
19.514465	-87.214836
20.187378	-86.154518
20.860291	-84.304581
21.533203	-82.579514
22.206116	-83.407967
22.879028	-82.618149
23.551941	-84.754959
24.224854	-84.395226
24.897766	-83.697937
25.570679	-83.712357
26.243591	-85.007599
26.916504	-82.427254
27.589417	-82.070633
28.262329	-82.860649
28.935242	-83.607765
29.608154	-82.546890
30.281067	-83.759888
30.953979	-85.808426
31.626892	-82.984909
32.299805	-83.296501
32.972717	-83.983986
33.645630	-84.150154
34.318542	-82.848198
34.991455	-84.764534
35.664368	-84.879112
36.337280	-83.848373
37.010193	-82.509224
37.683105	-83.336533
38.356018	-84.167107
39.028931	-85.284706
39.701843	-83.699760
40.374756	-83.261208
41.047668	-83.603401
41.720581	-83.017822
42.393494	-83.986740
43.066406	-84.968796
43.739319	-85.536446
44.412231	-81.942734
45.085144	-81.847733
45.758057	-83.712814
46.430969	-81.826660
47.103882	-83.867249
47.776794	-86.378059
48.449707	-82.066002
49.122620	-83.072609
49.795532	-82.542816
50.468445	-81.760277
51.141357	-79.129601
51.814270	-79.486176
52.487183	-80.168564
53.160095	-79.541481
53.833008	-80.395912
54.505920	-80.332970
55.178833	-78.846809
55.851746	-81.482178
56.524658	-81.015854
57.197571	-82.675186
57.870483	-78.278946
58.543396	-79.010445
59.216309	-79.914528
59.889221	-80.611458
60.562134	-80.177528
61.235046	-78.780083
61.907959	-78.714874
62.580872	-77.277321
63.253784	-79.736496
63.926697	-79.246056
64.599609	-81.922844
65.272522	-81.498444
65.945435	-79.874367
66.618347	-80.692123
67.291260	-81.616814
67.964172	-83.050240
68.637085	-80.514580
69.309998	-80.038696
69.982910	-78.743683
70.655823	-78.102150
71.328735	-79.329475
72.001648	-81.014694
72.674561	-79.460388
73.347473	-80.325882
74.020386	-80.011894
74.693298	-81.610954
75.366211	-78.753372
76.039124	-79.521393
76.712036	-80.775932
77.384949	-79.650200
78.057861	-79.754669
78.730774	-80.406494
79.403687	-80.202614
80.076599	-80.309090
80.749512	-81.608482
81.422424	-80.642899
82.095337	-79.252655
82.768250	-79.215889
83.441162	-81.714668
84.114075	-79.603233
84.786987	-78.750961
85.459900	-79.339569
86.132812	-79.034698
86.805725	-81.184174
87.478638	-80.087357
88.151550	-80.256210
88.824463	-78.516205
89.497375	-79.055153
90.170288	-80.446053
90.843201	-80.398453
91.516113	-79.578964
92.189026	-77.698936
92.861938	-79.588959
93.534851	-79.403305
94.207764	-82.940323
94.880676	-80.551956
95.553589	-80.027306
96.226501	-79.450516
96.899414	-77.796852
97.572327	-79.886482
98.245239	-78.720108
98.918152	-79.064247
99.591064	-79.146172
100.263977	-79.396301
100.936890	-79.391991
101.609802	-79.678574
102.282715	-78.907364
102.955627	-77.363518
103.628540	-78.758003
104.301453	-82.195351
104.974365	-80.222130
105.647278	-79.310722
106.320190	-81.071037
106.993103	-77.573807
107.666016	-76.393478
108.338928	-82.823982
109.011841	-78.776482
109.684753	-78.762718
110.357666	-77.251854
111.030579	-79.684776
111.703491	-77.602257
112.376404	-78.316055
113.049316	-77.807251
113.722229	-74.835022
114.395142	-75.635315
115.068054	-75.147049
115.740967	-76.288086
116.413879	-77.636780
117.086792	-78.127197
117.759705	-75.855644
118.432617	-75.705788
119.105530	-76.043762
119.778442	-69.797310
120.451355	-73.445007
121.124268	-72.763649
121.797180	-74.451294
122.470093	-76.731438
123.143005	-78.259239
123.815918	-77.197067
124.488831	-77.600868
125.161743	-77.813522
125.834656	-80.101723
126.507568	-79.557968
127.180481	-78.468681
127.853394	-77.233711
128.526306	-77.649879
129.199219	-76.700294
129.872131	-77.357857
130.545044	-78.242584
131.217957	-79.795135
131.890869	-76.670967
132.563782	-75.427818
133.236694	-76.523132
133.909607	-74.653160
134.582520	-74.351357
135.255432	-79.309540
