Frequency (Hz)	Level (dB)
0.672913	-99.123398
1.345825	-98.779846
2.018738	-99.177315
2.691650	-98.601242
3.364563	-98.706520
4.037476	-97.279625
4.710388	-97.871490
5.383301	-97.254959
6.056213	-94.234161
6.729126	-95.422310
7.402039	-96.995300
8.074951	-98.961029
8.747864	-96.117355
9.420776	-94.584518
10.093689	-92.796326
10.766602	-90.750275
11.439514	-89.458382
12.112427	-89.633636
12.785339	-91.245720
13.458252	-89.908157
14.131165	-92.058922
14.804077	-88.850838
15.476990	-90.132057
16.149902	-88.218231
16.822815	-89.478668
17.495728	-90.861107
18.168640	-90.246964
18.841553	-88.868561
19.514465	-89.066429
20.187378	-89.902443
20.860291	-87.613121
21.533203	-86.854279
22.206116	-87.517296
22.879028	-82.621033
23.551941	-85.789589
24.224854	-86.411690
24.897766	-84.503654
25.570679	-86.322632
26.243591	-86.568977
26.916504	-87.118332
27.589417	-86.363960
28.262329	-86.896004
28.935242	-86.626396
29.608154	-82.527206
30.281067	-86.443138
30.953979	-86.772446
31.626892	-84.659012
32.299805	-85.252731
32.972717	-86.953766
33.645630	-88.046822
34.318542	-85.363121
34.991455	-83.189911
35.664368	-85.755066
36.337280	-85.683357
37.010193	-84.823418
37.683105	-84.338524
38.356018	-85.503685
39.028931	-86.320343
39.701843	-86.404739
40.374756	-86.917564
41.047668	-86.687782
41.720581	-87.150597
42.393494	-84.009178
43.066406	-84.952972
43.739319	-85.180710
44.412231	-84.917229
45.085144	-85.265694
45.758057	-85.369972
46.430969	-86.726822
47.103882	-85.937302
47.776794	-84.542130
48.449707	-86.425934
49.122620	-86.430389
49.795532	-84.210464
50.468445	-82.744644
51.141357	-82.416603
51.814270	-83.005623
52.487183	-81.606934
53.160095	-80.892296
53.833008	-80.899307
54.505920	-82.645706
55.178833	-82.376755
55.851746	-81.347336
56.524658	-79.684456
57.197571	-80.490509
57.870483	-79.161354
58.543396	-81.606621
59.216309	-78.699265
59.889221	-79.831604
60.562134	-81.954193
61.235046	-82.140846
61.907959	-80.774529
62.580872	-78.452690
63.253784	-79.000664
63.926697	-82.016953
64.599609	-82.481926
65.272522	-84.800797
65.945435	-86.280815
66.618347	-84.824509
67.291260	-83.141640
67.964172	-83.459839
68.637085	-84.447853
69.309998	-83.143211
69.982910	-83.159439
70.655823	-83.012177
71.328735	-82.192909
72.001648	-83.018143
72.674561	-83.628159
73.347473	-82.120125
74.020386	-82.216553
74.693298	-84.412125
75.366211	-81.234123
76.039124	-82.535339
76.712036	-83.190414
77.384949	-85.485916
78.057861	-84.141876
78.730774	-82.756790
79.403687	-82.641953
80.076599	-83.656616
80.749512	-83.555687
81.422424	-84.295860
82.095337	-83.191635
82.768250	-85.038223
83.441162	-85.182030
84.114075	-81.672340
84.786987	-82.431526
85.459900	-81.921944
86.132812	-80.971405
86.805725	-81.509949
87.478638	-83.477211
88.151550	-84.198273
88.824463	-81.705505
89.497375	-82.592682
90.170288	-82.453239
90.843201	-82.381165
91.516113	-84.446114
92.189026	-82.723221
92.861938	-83.579590
93.534851	-82.989189
94.207764	-84.446243
94.880676	-82.585823
95.553589	-83.643684
96.226501	-83.591438
96.899414	-83.327293
97.572327	-83.119408
98.245239	-82.476646
98.918152	-83.137085
99.591064	-81.624710
100.263977	-83.486916
100.936890	-82.652527
101.609802	-84.150162
102.282715	-83.641983
102.955627	-79.756927
103.628540	-81.974075
104.301453	-82.839058
104.974365	-83.851753
105.647278	-83.350357
106.320190	-82.552040
106.993103	-81.338181
107.666016	-79.644966
108.338928	-83.766792
109.011841	-84.226501
109.684753	-83.869324
110.357666	-81.273415
111.030579	-84.988243
111.703491	-83.068443
112.376404	-81.302856
113.049316	-82.831703
113.722229	-81.944748
114.395142	-80.922112
115.068054	-78.697632
115.740967	-81.837471
116.413879	-83.202415
117.086792	-81.978897
117.759705	-80.126801
118.432617	-77.710068
119.105530	-80.879677
119.778442	-76.330368
120.451355	-78.518967
121.124268	-78.058540
121.797180	-80.350395
122.470093	-82.499161
123.143005	-82.425430
123.815918	-81.759956
124.488831	-82.054581
125.161743	-82.052589
125.834656	-83.484596
126.507568	-83.585793
127.180481	-83.564880
127.853394	-82.313942
128.526306	-82.670288
129.199219	-82.351372
129.872131	-82.041473
130.545044	-82.240479
131.217957	-83.969719
131.890869	-81.788231
132.563782	-80.839432
133.236694	-82.855759
133.909607	-81.673454
134.582520	-78.421249
135.255432	-85.354988
135.928345	-81.797668
136.601257	-82.230232
137.274170	-81.397919
137.947083	-81.208176
138.619995	-81.755402
139.292908	-81.183937
139.965820	-80.422302
140.638733	-82.621384
141.311646	-81.455208
141.984558	-80.542229
142.657471	-79.360893
143.330383	-80.990417
144.003296	-81.068710
144.676208	-80.700066
145.349121	-81.716942
146.022034	-79.798775
146.694946	-79.790382
147.367859	-79.595505
148.040771	-81.666679
148.713684	-82.078621
149.386597	-80.698677
150.059509	-80.204834
150.732422	-82.700317
151.405334	-81.063873
152.078247	-79.420303
152.751160	-81.322594
153.424072	-81.723076
154.096985	-80.824455
154.769897	-81.646637
155.442810	-81.712151
156.115723	-80.559601
156.788635	-81.129326
157.461548	-79.919861
158.134460	-79.928436
158.807373	-81.115227
159.480286	-80.617210
160.153198	-83.184151
160.826111	-80.154091
161.499023	-79.545753
162.171936	-79.871223
162.844849	-81.631821
163.517761	-82.910484
164.190674	-81.594078
164.863586	-79.485985
165.536499	-80.941216
166.209412	-80.463249
166.882324	-80.951157
167.555237	-82.824158
168.228149	-81.513405
168.901062	-80.404678
169.573975	-79.030121
170.246887	-81.398064
170.919800	-82.789574
171.592712	-79.273643
172.265625	-78.894455
172.938538	-79.786125
173.611450	-80.135399
174.284363	-81.898781
174.957275	-79.273170
175.630188	-77.432205
176.303101	-78.476295
176.976013	-80.663376
177.648926	-78.714211
178.321838	-80.873207
178.994751	-79.371071
179.667664	-81.152634
180.340576	-79.676483
181.013489	-79.335258
181.686401	-79.521645
182.359314	-80.280418
183.032227	-77.946701
183.705139	-78.554443
184.378052	-80.218544
185.050964	-77.025383
185.723877	-79.788780
186.396790	-81.169769
187.069702	-79.851227
187.742615	-78.462143
188.415527	-80.110741
189.088440	-80.124039
189.761353	-79.181389
190.434265	-80.414536
191.107178	-78.232964
191.780090	-78.419685
192.453003	-77.940605
193.125916	-80.323807
193.798828	-79.432266
194.471741	-76.753983
195.144653	-78.095322
195.817566	-79.019547
196.490479	-78.826546
197.163391	-79.276588
197.836304	-78.028923
198.509216	-75.555565
199.182129	-76.618584
199.855042	-78.904198
200.527954	-79.290428
201.200867	-77.653709
201.873779	-75.465904
202.546692	-77.719131
203.219604	-79.776459
203.892517	-77.512978
204.565430	-77.473923
205.238342	-79.216537
205.911255	-77.345398
206.584167	-79.507263
207.257080	-79.217636
207.929993	-79.025681
208.602905	-76.734650
209.275818	-77.234520
209.948730	-76.568398
210.621643	-76.383873
211.294556	-76.087234
211.967468	-79.033379
212.640381	-78.217194
213.313293	-74.664062
213.986206	-78.792915
214.659119	-78.496826
215.332031	-75.975853
216.004944	-76.176254
216.677856	-76.950172
217.350769	-75.934570
218.023682	-78.715446
218.696594	-77.637085
219.369507	-75.489746
220.042419	-77.663689
220.715332	-78.647568
221.388245	-77.298378
222.061157	-75.186966
222.734070	-76.736916
223.406982	-74.560173
224.079895	-76.892273
224.752808	-79.473862
225.425720	-75.440758
226.098633	-75.711487
226.771545	-73.366928
227.444458	-74.423157
228.117371	-75.718262
228.790283	-75.099792
229.463196	-73.963036
230.136108	-73.486359
230.809021	-74.278748
231.481934	-74.286728
232.154846	-74.803268
232.827759	-76.173286
233.500671	-74.652519
234.173584	-75.426804
234.846497	-73.882011
235.519409	-75.521698
236.192322	-74.869385
236.865234	-74.212898
237.538147	-74.616707
238.211060	-74.696686
238.883972	-74.048462
239.556885	-75.808899
240.229797	-74.351982
240.902710	-73.211510
241.575623	-69.766960
242.248535	-70.419838
242.921448	-73.165718
243.594360	-74.263390
244.267273	-71.384056
244.940186	-72.280441
245.613098	-71.831383
246.286011	-71.345711
246.958923	-72.848869
247.631836	-71.502632
248.304749	-72.758835
248.977661	-73.330818
249.650574	-72.206306
250.323486	-72.240479
250.996399	-71.935692
251.669312	-73.010254
252.342224	-71.870392
253.015137	-71.563965
253.688049	-73.213333
254.360962	-70.807144
255.033875	-72.166710
255.706787	-72.304077
256.379700	-73.392982
257.052612	-70.020859
257.725525	-70.231644
258.398438	-70.145691
259.071350	-71.293381
259.744263	-70.223564
260.417175	-70.472511
261.090088	-68.772041
261.763000	-68.447784
262.435913	-70.402107
263.108826	-69.731499
263.781738	-67.916504
264.454651	-68.864349
265.127563	-69.011742
265.800476	-68.525284
266.473389	-70.286827
267.146301	-69.977745
267.819214	-67.753571
268.492126	-69.127350
269.165039	-65.625206
269.837952	-67.595963
270.510864	-68.764076
271.183777	-67.927803
271.856689	-67.990875
272.529602	-67.934311
273.202515	-68.139404
273.875427	-67.282547
274.548340	-67.301231
275.221252	-63.863384
275.894165	-67.309120
276.567078	-66.595825
277.239990	-67.560043
277.912903	-63.746025
278.585815	-64.211639
279.258728	-67.539200
279.931641	-64.972115
280.604553	-63.714409
281.277466	-65.120079
281.950378	-63.635517
282.623291	-64.377083
283.296204	-63.303375
283.969116	-62.224079
284.642029	-61.993561
285.314941	-62.689739
285.987854	-63.923122
286.660767	-62.144478
287.333679	-62.983875
288.006592	-64.047142
288.679504	-62.223282
289.352417	-63.814014
290.025330	-61.476448
290.698242	-62.766281
291.371155	-61.438145
292.044067	-64.030678
292.716980	-62.746357
293.389893	-63.468292
294.062805	-61.439194
294.735718	-62.762390
295.408630	-63.821617
296.081543	-63.025661
296.754456	-61.563999
297.427368	-61.108093
298.100281	-62.214455
298.773193	-63.325771
299.446106	-65.105011
300.119019	-62.723198
300.791931	-65.451324
301.464844	-62.225231
302.137756	-63.952854
302.810669	-65.167488
303.483582	-65.729012
304.156494	-65.830971
304.829407	-68.131378
305.502319	-64.842903
306.175232	-65.340416
306.848145	-65.779419
307.521057	-67.192413
308.193970	-63.867317
308.866882	-66.371407
309.539795	-65.716942
310.212708	-65.663147
310.885620	-65.709717
311.558533	-67.225647
312.231445	-68.293419
312.904358	-67.070198
313.577271	-67.057297
314.250183	-66.432259
314.923096	-67.586906
315.596008	-67.174774
316.268921	-68.289375
316.941833	-67.042023
317.614746	-65.321152
318.287659	-65.801804
318.960571	-69.073441
319.633484	-69.590523
320.306396	-69.532120
320.979309	-68.596916
321.652222	-68.887482
322.325134	-69.354126
322.998047	-69.706192
323.670959	-69.879898
324.343872	-70.903450
325.016785	-70.756622
325.689697	-68.545967
326.362610	-69.602776
327.035522	-70.812691
327.708435	-71.383621
328.381348	-71.408478
329.054260	-71.631638
329.727173	-72.770424
330.400085	-71.430740
331.072998	-70.711319
331.745911	-70.438164
332.418823	-73.470909
333.091736	-69.939835
333.764648	-70.119316
334.437561	-72.327057
335.110474	-71.444984
335.783386	-71.510094
336.456299	-72.187599
337.129211	-70.328094
337.802124	-71.156059
338.475037	-70.902496
339.147949	-73.074211
339.820862	-71.855942
340.493774	-71.158440
341.166687	-71.982536
341.839600	-71.969795
342.512512	-72.712196
343.185425	-73.291130
343.858337	-73.785431
344.531250	-74.807373
345.204163	-71.223465
345.877075	-73.007729
346.549988	-73.191811
347.222900	-74.542809
347.895813	-73.751328
348.568726	-73.464867
349.241638	-73.141495
349.914551	-73.385925
350.587463	-74.298393
351.260376	-74.344765
351.933289	-72.208649
352.606201	-72.319405
353.279114	-72.422607
353.952026	-74.517151
354.624939	-74.156647
355.297852	-73.712242
355.970764	-74.653343
356.643677	-74.408394
357.316589	-75.114258
357.989502	-74.590813
358.662415	-73.339806
359.335327	-73.614235
360.008240	-73.953949
360.681152	-73.730927
361.354065	-76.195793
362.026978	-76.113258
362.699890	-75.532890
363.372803	-75.551620
364.045715	-75.506851
364.718628	-74.959221
365.391541	-77.045937
366.064453	-76.297890
366.737366	-75.939590
367.410278	-75.444580
368.083191	-76.541855
368.756104	-75.730148
369.429016	-75.527794
370.101929	-77.616348
370.774841	-76.555260
371.447754	-74.867485
372.120667	-75.573837
372.793579	-75.534897
373.466492	-75.753136
374.139404	-75.152390
374.812317	-75.143570
375.485229	-76.065895
376.158142	-75.673744
376.831055	-74.087791
377.503967	-75.281372
378.176880	-75.575089
378.849792	-77.265411
379.522705	-76.529930
380.195618	-77.033966
380.868530	-75.562683
381.541443	-74.674637
382.214355	-74.695015
382.887268	-76.330757
383.560181	-75.752510
384.233093	-74.872223
384.906006	-75.682808
385.578918	-78.351143
386.251831	-78.422020
386.924744	-78.476273
387.597656	-76.179329
388.270569	-73.694092
388.943481	-74.305084
389.616394	-77.831055
390.289307	-77.375687
390.962219	-75.628662
391.635132	-78.674683
392.308044	-78.103600
392.980957	-74.361977
393.653870	-76.882294
394.326782	-76.669548
394.999695	-76.949791
395.672607	-79.730476
396.345520	-76.718842
397.018433	-77.209267
397.691345	-76.923332
398.364258	-78.281914
399.037170	-77.446861
399.710083	-76.787399
400.382996	-76.769821
401.055908	-75.390121
401.728821	-76.360268
402.401733	-76.397606
403.074646	-77.115288
403.747559	-77.354050
404.420471	-75.859306
405.093384	-75.707321
405.766296	-76.179710
406.439209	-78.389458
407.112122	-74.675018
407.785034	-76.835800
408.457947	-78.065460
409.130859	-78.133919
409.803772	-77.350647
410.476685	-76.598862
411.149597	-76.086006
411.822510	-76.140045
412.495422	-77.781273
413.168335	-77.213486
413.841248	-82.376625
414.514160	-76.620842
415.187073	-78.730164
415.859985	-77.712151
416.532898	-78.429932
417.205811	-76.489693
417.878723	-78.338524
418.551636	-75.216637
419.224548	-80.017479
419.897461	-76.762405
420.570374	-76.021317
421.243286	-76.278397
421.916199	-76.402374
422.589111	-77.356438
423.262024	-77.674103
423.934937	-76.246124
424.607849	-77.988632
425.280762	-76.512283
425.953674	-76.244125
426.626587	-78.660400
427.299500	-76.944389
427.972412	-78.569771
428.645325	-78.458260
429.318237	-77.743294
429.991150	-78.115379
430.664062	-77.132286
431.336975	-77.586540
432.009888	-75.904663
432.682800	-75.907364
433.355713	-79.504395
434.028625	-76.930534
434.701538	-76.654381
435.374451	-77.256615
436.047363	-77.458847
436.720276	-76.395981
437.393188	-77.123451
438.066101	-75.494392
438.739014	-75.732147
439.411926	-76.795174
440.084839	-77.760063
440.757751	-78.013062
441.430664	-76.689827
442.103577	-78.253410
442.776489	-76.525475
443.449402	-76.277161
444.122314	-76.236343
444.795227	-75.508362
445.468140	-80.241020
446.141052	-76.475021
446.813965	-75.967010
447.486877	-75.627258
448.159790	-76.868080
448.832703	-78.006340
449.505615	-75.993919
450.178528	-77.747894
450.851440	-76.505493
451.524353	-77.611855
452.197266	-79.155998
452.870178	-78.292107
453.543091	-77.612198
454.216003	-76.718964
454.888916	-78.555107
455.561829	-78.917801
456.234741	-79.504570
456.907654	-77.760208
457.580566	-76.545982
458.253479	-76.839981
458.926392	-76.584976
459.599304	-78.545700
460.272217	-78.513535
460.945129	-76.151306
461.618042	-78.384483
462.290955	-76.378922
462.963867	-76.454414
463.636780	-75.242691
464.309692	-75.979721
464.982605	-77.608414
465.655518	-77.584801
466.328430	-76.264725
467.001343	-78.877983
467.674255	-76.800400
468.347168	-78.087227
469.020081	-75.701981
469.692993	-74.666000
470.365906	-75.128792
471.038818	-75.281158
471.711731	-75.719528
472.384644	-75.725960
473.057556	-78.838188
473.730469	-75.762733
474.403381	-77.175842
475.076294	-77.104141
475.749207	-78.975838
476.422119	-75.954613
477.095032	-76.053108
477.767944	-78.285675
478.440857	-76.893661
479.113770	-78.204086
479.786682	-78.236725
480.459595	-77.379486
481.132507	-74.867203
481.805420	-76.448532
482.478333	-75.770378
483.151245	-75.204880
483.824158	-76.982750
484.497070	-75.796356
485.169983	-75.992371
485.842896	-75.512718
486.515808	-74.875443
487.188721	-76.966591
487.861633	-76.724457
488.534546	-74.232712
489.207458	-75.797005
489.880371	-74.299667
490.553284	-74.193558
491.226196	-74.819458
491.899109	-74.528610
492.572021	-75.395210
493.244934	-74.541862
493.917847	-75.252998
494.590759	-73.964706
495.263672	-75.335602
495.936584	-75.363449
496.609497	-75.775177
497.282410	-74.530899
497.955322	-75.149345
498.628235	-73.944328
499.301147	-75.381012
499.974060	-71.830338
500.646973	-73.670067
501.319885	-74.673660
501.992798	-74.918541
502.665710	-74.284622
503.338623	-74.817307
504.011536	-75.591209
504.684448	-75.273376
505.357361	-74.908852
506.030273	-71.986015
506.703186	-74.087486
507.376099	-76.907692
508.049011	-76.020035
508.721924	-74.928223
509.394836	-72.972321
510.067749	-73.745003
510.740662	-73.492455
511.413574	-72.698578
512.086487	-74.349998
512.759399	-74.444435
513.432312	-73.066772
514.105225	-72.860260
514.778137	-72.886772
515.451050	-73.136444
516.123962	-73.312172
516.796875	-73.437904
517.469788	-73.525383
518.142700	-71.595108
518.815613	-73.726181
519.488525	-74.350784
520.161438	-74.397598
520.834351	-71.941002
521.507263	-72.716667
522.180176	-72.530930
522.853088	-72.350464
523.526001	-71.818169
524.198914	-70.284996
524.871826	-72.544884
525.544739	-71.340012
526.217651	-71.642090
526.890564	-71.059776
527.563477	-72.603851
528.236389	-72.663422
528.909302	-73.111259
529.582214	-71.616150
530.255127	-70.027023
530.928040	-70.237808
531.600952	-72.373169
532.273865	-72.445793
532.946777	-71.398514
533.619690	-69.359795
534.292603	-70.275696
534.965515	-71.663704
535.638428	-70.787514
536.311340	-70.826965
536.984253	-71.558670
537.657166	-74.240273
538.330078	-71.193733
539.002991	-69.550430
539.675903	-69.777420
540.348816	-69.875809
541.021729	-72.826118
541.694641	-71.159866
542.367554	-69.150772
543.040466	-68.999130
543.713379	-68.578194
544.386292	-69.914253
545.059204	-70.264519
545.732117	-68.669594
546.405029	-67.714966
547.077942	-68.239494
547.750854	-68.055862
548.423767	-68.064247
549.096680	-68.433525
549.769592	-66.676727
550.442505	-66.561394
551.115417	-66.061653
551.788330	-67.395676
552.461243	-66.439041
553.134155	-68.452110
553.807068	-65.943588
554.479980	-68.547134
555.152893	-65.553795
555.825806	-66.684494
556.498718	-67.477760
557.171631	-66.514343
557.844543	-64.646057
558.517456	-65.469025
559.190369	-65.862877
559.863281	-66.145966
560.536194	-65.544899
561.209106	-67.008141
561.882019	-64.899101
562.554932	-64.045166
563.227844	-65.274010
563.900757	-64.275757
564.573669	-65.507629
565.246582	-67.139259
565.919495	-67.887047
