Frequency (Hz)	Level (dB)
0.672913	-82.716644
1.345825	-84.289482
2.018738	-83.905296
2.691650	-83.263031
3.364563	-80.813622
4.037476	-81.523239
4.710388	-79.005661
5.383301	-76.309059
6.056213	-75.677284
6.729126	-73.041534
7.402039	-72.839867
8.074951	-71.357002
8.747864	-69.984398
9.420776	-69.393387
10.093689	-68.383186
10.766602	-67.495430
11.439514	-66.965805
12.112427	-66.080254
12.785339	-66.033249
13.458252	-65.471275
14.131165	-65.086563
14.804077	-64.442657
15.476990	-64.207237
16.149902	-64.104797
16.822815	-63.806702
17.495728	-63.192245
18.168640	-63.186935
18.841553	-63.291264
19.514465	-62.858788
20.187378	-62.716709
20.860291	-62.826702
21.533203	-62.425350
22.206116	-62.267124
22.879028	-62.193253
23.551941	-62.211971
24.224854	-62.054672
24.897766	-62.207474
25.570679	-62.110195
26.243591	-61.738331
26.916504	-62.073105
27.589417	-62.182472
28.262329	-61.984444
28.935242	-62.851238
29.608154	-62.620274
30.281067	-62.298244
30.953979	-63.035786
31.626892	-63.109741
32.299805	-62.591526
32.972717	-62.753773
33.645630	-62.971436
34.318542	-63.882427
34.991455	-63.116962
35.664368	-63.560860
36.337280	-63.613083
37.010193	-63.641956
37.683105	-64.100052
38.356018	-63.809021
39.028931	-64.796638
39.701843	-64.230850
40.374756	-64.380951
41.047668	-65.579109
41.720581	-66.411598
42.393494	-65.706245
43.066406	-66.792107
43.739319	-66.955475
44.412231	-67.395607
45.085144	-66.910446
45.758057	-66.882957
46.430969	-66.600044
47.103882	-67.557068
47.776794	-66.930252
48.449707	-67.325409
49.122620	-68.490860
49.795532	-68.994789
50.468445	-69.169968
51.141357	-69.616211
51.814270	-68.629623
52.487183	-68.446495
53.160095	-69.779396
53.833008	-68.274445
54.505920	-69.681152
55.178833	-70.104240
55.851746	-70.321884
56.524658	-70.318703
57.197571	-72.335289
57.870483	-67.811356
58.543396	-69.658928
59.216309	-70.258247
59.889221	-70.794174
60.562134	-73.353760
61.235046	-72.006721
61.907959	-74.163185
62.580872	-72.701782
63.253784	-76.105278
63.926697	-75.619186
64.599609	-71.952049
65.272522	-69.673203
65.945435	-71.816551
66.618347	-77.297722
67.291260	-74.146263
67.964172	-72.310204
68.637085	-76.288490
69.309998	-72.516106
69.982910	-75.412010
70.655823	-76.335838
71.328735	-73.805031
72.001648	-69.583130
72.674561	-71.535660
